,FIPS,STNAME,CTYNAME,POPESTIMATE2019,NPOPCHG_2019,PPOPCHG_2019
1,1001,Alabama,Autauga County,55869,336,0.6014068624818772
2,1003,Alabama,Baldwin County,223234,5379,2.409579185966295
3,1005,Alabama,Barbour County,24686,-186,-0.7534635015798428
4,1007,Alabama,Bibb County,22394,27,0.12056800928820219
5,1009,Alabama,Blount County,57826,55,0.09511292498184208
6,1011,Alabama,Bullock County,10101,-73,-0.7227007227007227
7,1013,Alabama,Butler County,19448,-183,-0.9409707939119704
8,1015,Alabama,Calhoun County,113605,-726,-0.6390563795607588
9,1017,Alabama,Chambers County,33254,-346,-1.0404763336741445
10,1019,Alabama,Cherokee County,26196,182,0.6947625591693388
11,1021,Alabama,Chilton County,44428,265,0.5964706941568381
12,1023,Alabama,Choctaw County,12589,-244,-1.9382000158868855
13,1025,Alabama,Clarke County,23622,-296,-1.2530691728050123
14,1027,Alabama,Clay County,13235,-59,-0.44578768417075937
15,1029,Alabama,Cleburne County,14910,-100,-0.670690811535882
16,1031,Alabama,Coffee County,52342,392,0.7489205609262161
17,1033,Alabama,Colbert County,55241,237,0.4290291631215945
18,1035,Alabama,Conecuh County,12067,-225,-1.8645893759840888
19,1037,Alabama,Coosa County,10663,20,0.18756447528838038
20,1039,Alabama,Covington County,37049,96,0.259116305433345
21,1041,Alabama,Crenshaw County,13772,-53,-0.3848388033691548
22,1043,Alabama,Cullman County,83768,350,0.4178206475026263
23,1045,Alabama,Dale County,49172,29,0.05897665337997234
24,1047,Alabama,Dallas County,37196,-1098,-2.951930315087644
25,1049,Alabama,DeKalb County,71513,106,0.14822479828842308
26,1051,Alabama,Elmore County,81209,198,0.24381534066421207
27,1053,Alabama,Escambia County,36633,109,0.29754592853438155
28,1055,Alabama,Etowah County,102268,-343,-0.3353932804005163
29,1057,Alabama,Fayette County,16302,-143,-0.8771929824561403
30,1059,Alabama,Franklin County,31362,64,0.204068618072827
31,1061,Alabama,Geneva County,26271,-35,-0.1332267519317879
32,1063,Alabama,Greene County,8111,-98,-1.2082357292565653
33,1065,Alabama,Hale County,14651,-98,-0.6688963210702341
34,1067,Alabama,Henry County,17205,32,0.1859924440569602
35,1069,Alabama,Houston County,105882,1112,1.0502257229746321
36,1071,Alabama,Jackson County,51626,5,0.009685042420485802
37,1073,Alabama,Jefferson County,658573,-856,-0.12997799788330222
38,1075,Alabama,Lamar County,13805,-77,-0.5577689243027889
39,1077,Alabama,Lauderdale County,92729,125,0.13480141056196013
40,1079,Alabama,Lawrence County,32924,-17,-0.051634066334588745
41,1081,Alabama,Lee County,164542,886,0.5384643434503045
42,1083,Alabama,Limestone County,98915,2738,2.7680331597836525
43,1085,Alabama,Lowndes County,9726,-248,-2.5498663376516553
44,1087,Alabama,Macon County,18068,-253,-1.4002656630506973
45,1089,Alabama,Madison County,372909,5905,1.5834962417104443
46,1091,Alabama,Marengo County,18863,-193,-1.0231670465991625
47,1093,Alabama,Marion County,29709,-41,-0.13800531825372783
48,1095,Alabama,Marshall County,96774,604,0.6241345816024966
49,1097,Alabama,Mobile County,413210,-698,-0.16892137169962004
50,1099,Alabama,Monroe County,20733,-329,-1.5868422321902282
51,1101,Alabama,Montgomery County,226486,-18,-0.007947511104439127
52,1103,Alabama,Morgan County,119679,476,0.3977305960109961
53,1105,Alabama,Perry County,8923,-147,-1.647427995068923
54,1107,Alabama,Pickens County,19930,-50,-0.2508780732563974
55,1109,Alabama,Pike County,33114,-128,-0.38654345594008577
56,1111,Alabama,Randolph County,22722,-5,-0.022005105184402782
57,1113,Alabama,Russell County,57961,177,0.3053777540070047
58,1115,Alabama,St. Clair County,89512,858,0.9585306997944409
59,1117,Alabama,Shelby County,217702,2119,0.9733488897667455
60,1119,Alabama,Sumter County,12427,-207,-1.6657278506477828
61,1121,Alabama,Talladega County,79978,-159,-0.19880467128460325
62,1123,Alabama,Tallapoosa County,40367,-168,-0.41618153442168104
63,1125,Alabama,Tuscaloosa County,209355,1036,0.4948532397124501
64,1127,Alabama,Walker County,63521,-148,-0.23299381306969347
65,1129,Alabama,Washington County,16326,-76,-0.46551512924170035
66,1131,Alabama,Wilcox County,10373,-226,-2.178733249783091
67,1133,Alabama,Winston County,23629,-64,-0.27085361208684244
69,2013,Alaska,Aleutians East Borough,3337,-58,-1.7380881030866047
70,2016,Alaska,Aleutians West Census Area,5634,-6,-0.10649627263045794
71,2020,Alaska,Anchorage Municipality,288000,-2521,-0.8753472222222222
72,2050,Alaska,Bethel Census Area,18386,167,0.9082997933210052
73,2060,Alaska,Bristol Bay Borough,836,-44,-5.263157894736842
74,2068,Alaska,Denali Borough,2097,65,3.099666189794945
75,2070,Alaska,Dillingham Census Area,4916,-75,-1.5256305939788446
