,FIPS,STNAME,POPESTIMATE2019,NPOPCHG_2019,PPOPCHG_2019
0,1,Alabama,4903185,15504,0.3162026315547955
68,2,Alaska,731545,-3594,-0.49128898427301126
98,4,Arizona,7278717,120693,1.6581631075916263
114,5,Arkansas,3017804,8071,0.2674461297022603
190,6,California,39512223,50635,0.1281502182248769
249,8,Colorado,5758736,67449,1.1712466068942906
314,9,Connecticut,3565287,-6233,-0.1748246354360813
323,10,Delaware,973764,8285,0.8508221704643014
327,11,District of Columbia,705749,4202,0.5953958135257719
329,12,Florida,21477737,233420,1.0867997871470352
397,13,Georgia,10617423,106292,1.0011092145429263
557,15,Hawaii,1415872,-4721,-0.3334340957374678
563,16,Idaho,1787065,36529,2.0440778595070688
608,17,Illinois,12671821,-51250,-0.4044406877275176
711,18,Indiana,6732219,36722,0.545466509630777
804,19,Iowa,3155070,6452,0.20449625523363985
904,20,Kansas,2913314,1955,0.06710570848181831
1010,21,Kentucky,4467673,6520,0.14593726980466115
1131,22,Louisiana,4648794,-10896,-0.234383369106052
1196,23,Maine,1344212,5155,0.3834960556816931
1213,24,Maryland,6045680,9878,0.1633893954029985
1238,25,Massachusetts,6892503,9868,0.14317005012547693
1253,26,Michigan,9986857,2785,0.027886651425969154
1337,27,Minnesota,5639632,33383,0.5919357858810645
1425,28,Mississippi,2976149,-4871,-0.16366788087558787
1508,29,Missouri,6137428,15805,0.25751829593764686
1624,30,Montana,1068778,8113,0.7590912238088733
1681,31,Nebraska,1934408,8794,0.4546093688611709
1775,32,Nevada,3080156,52815,1.7146858795463606
1793,33,New Hampshire,1359711,6246,0.45936232037543273
1804,34,New Jersey,8882190,-3835,-0.04317628873059459
1826,35,New Mexico,2096829,4088,0.19496105786404136
1860,36,New York,19453561,-76790,-0.3947349279651165
1923,37,North Carolina,10488084,106469,1.0151425179279647
2024,38,North Dakota,762062,3982,0.5225296629408106
2078,39,Ohio,11689100,12759,0.10915297157180623
2167,40,Oklahoma,3956971,16736,0.4229497764830725
2245,41,Oregon,4217737,35851,0.8500055835629392
2282,42,Pennsylvania,12801989,1067,0.008334642374712242
2350,44,Rhode Island,1059361,1074,0.10138187076926564
2356,45,South Carolina,5148714,64558,1.2538664994792874
2403,46,South Dakota,884659,5961,0.6738189517090767
2470,47,Tennessee,6829174,57543,0.8426055625468029
2566,48,Texas,28995881,367215,1.2664384986267532
2821,49,Utah,3205958,52408,1.63470638105677
2851,50,Vermont,623989,-369,-0.05913565784012218
2866,51,Virginia,8535519,34233,0.40106524278137035
3000,53,Washington,7614893,91024,1.195341812419426
3040,54,West Virginia,1792147,-12144,-0.6776229851680694
3096,55,Wisconsin,5822434,15028,0.2581051154895015
3169,56,Wyoming,578759,1158,0.20008328164227251
